 ,Episode,Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip
,,Ins. Damayanti,"Proman ache bolei bolchi. Amon damad mone hoye 
Mr. Khan-er pochondo hobe na? Voice-ta shunon. 
Apnar damader.","I’m saying it because I have proof. I doubt Mr Khan 
would want such a son in law. Listen to the voice. 
Your son in law.",0:06:16,0:05:53,0,AudioS200648.mpeg
,,Abbas Khan,"Ei ei, bass bass ei sab bandh kar! bandh kar! ",Stop it! Stop everything!,0:05:47,0:05:42,0,AudioS200649.mpeg
,,"Zishan Razi/Sagar,
Abbas Khan","Are Abbas Bhai... ,  E bass bass! Tu... Malda se 
nikal ja. Beriye ja ekhan theke. Ami tor nongra khune 
paak jomin-e poruk chai na!","Hey Abbas Bhai… , Hey stop! You… Get out of Malda.
Leave this place. I don’t want your dirty blood on this 
land.",0:05:41,0:05:28,0,AudioS200650.mpeg
,,"Zishan Razi/Sagar,
Abbas Khan","Ka baat kar rahe ho Abbas Bhai? , Madam... E border 
periye gele na, er shathe ja icche kore nin. Amader 
keu kichu bolbe na! Hey shob, keu kichu bolbe na!","What are you saying Abbas Bhai? , Madam… Once he 
crosses the border do whatever you want with him.
None of us will interfere. Nobody will interfere.",0:05:27,0:05:18,0,AudioS200651.mpeg
,,"Zishan Razi/Sagar,
Abbas Khan","Are Abbas Bhai... Ka baat kar rahe ho... Abbas Bhai 
baat suniye mera... Abbas Bhai meri baat suniye na...
, Chup! Ja nikal ja yahan se!","Abbas Bhai… What are you saying Abbas Bhai listen to 
me… What are you saying Abbas Bhai listen to me… 
, Shut up and leave!",0:05:17,0:05:11,0,AudioS200652.mpeg
,,Zishan Razi/Sagar,"Hey... Sana, meri baat sun... Ek baar ho gaya. Ek 
baar ho gaya, nashe mein tha, control nahi hua, 
galti ho gaya re. Galti ho gaya Sana. Hey Sana 
galti ho gaya. Maaf kar de? Huh? Maaf kar de! Are tu 
begum achis amar! Ka re?","Sana listen to me… It happened once. I was drunk 
and lost control. It was a mistake Sana forgive me. 
Forgive me you are my queen. Hey…",0:05:09,0:04:53,0,AudioS200653.mpeg
,,Sana,"Meyeder-ke jara oshomman kore... Malda-r matite 
tader kono jaga nei. Tujhe maut Mubarak ho! 
Abbajan. Iski lash-ko bahar fek aiye.","Those who disrespect women… have no place on the 
soil of Malda. Happy death to you. Father… Throw his 
body outside.",0:03:59,0:03:40,0,AudioS200654.mpeg
,,Ravi,"E i sala, ei waqt kaun hain? Jyoti dekh ke ate hain.",Who is this now? Jyoti let me check.,0:03:13,0:03:11,0,AudioS200655.mpeg
,,Inspector Geeta,"It's okay. I will not do anything. Kuch nahi hoga... 
Tumhare bacche-ko kuch nahi hoga, tum bas 
hamare saath chalo. Hum sab dekh lenge, okay? 
Come...","It’s okay. I will not do anything. Nothing will happen. 
Your child will not be harmed just come with me.
We will take care of everything. Come.",0:02:11,0:01:58,0,AudioS200656.mpeg
S2,E6,Nirjhar Singh,"Are ma**ka! Bhosrike! Neta par hamla hua hain! 
Sala, neta par hamla. Chorenge nehi Ma***od. Dekh 
lete hain. Hey! Hey! Kaun hai be tu?","You son of a bitch! You bastard! There's been an attack 
on the leader! You bastard, an attack on the leader. We 
won't let you go. You'll see. Hey! Hey! Who the hell are 
you?",0:27:29,0:25:54,0,AudioS200657.mpeg
,,"Guru, Nirjhar Singh","Aapka fan hai sir. , Abe chutiya, tu humne ka dekh 
liya, jo tu hamar fan ho gechish? Naam ka hai?","A fan, sir. , F***er, why on earth are you my fan? 
What's your name?",0:25:52,0:25:45,0,AudioS200658.mpeg
,,"Guru, Nirjhar Singh","Guru... , Tu ki kore bujhli, idhar 
hamla hobe?"," How did you know that they would attack 
me?",0:25:42,0:25:38,0,AudioS200659.mpeg
,,"Guru, Nirjhar Singh, 
Guru","Ka hai na sir... Aapka follower hai na? Toh aapka 
movement follow karna hi hamara kaam. , E log kon 
the? ,  Aapka business partner toh aapko double 
cross kar gaye.","You know, sir... I'm your follower, right? Toh it's my job 
to follow you around. , Who were they? , Your business 
partner betrayed you!",0:25:36,0:25:23,1,AudioS200660.mpeg
,,"Nirjhar Singh, Guru","Ka chahiye tujhe? , Bas... Aapka ye wala haath... 
Hamara sir par rahe. Kafi hai.","What do you want? , Just... need this hand of yours... 
over my head. That's all.",0:25:20,0:25:11,0,AudioS200661.mpeg
,,Nirjharer Sopno Bhongo,,Nirjhar's Dream Shatters',0:24:08,0:24:06,N/A,N/A
,,"Animesh, Ravi","Ebar bol, toder dole kara kara achhe? , Chhod saala! 
Chhod b*****ke! Chhod humein! Hamari biwi kidhar 
hai, m*******d! .","Now speak, who are the people behind you? Leave me, 
you bastard! Leave me, you whore! Leave us! Where is 
our wife, you son of a bitch!",0:24:05,0:23:55,0,AudioS200662.mpeg
,,Animesh,"Abe boka... chhele! Tor bachha chhilo bole tui beche 
gechis. O Madhabi Devi, or bou bachhake dekhte 
ichhe korchhe, anun.  ","You fool... boy! You survived only because you were his 
child. O Madhabi Devi, she wishes to see her son, bring 
him. ",0:23:54,0:23:43,0,AudioS200663.mpeg
,,Ravi,"Ka kiya tum log hamari biwi bachha ke sath?Jyoti, 
Munna... Jyoti, Munna... Ei inspector, ei Munna ke 
eikhan theke niye ja inspector!","What have you people done with our wife and child? 
Jyoti, Munna... Jyoti, Munna... Hey, inspector, take this 
Munna away from here, inspector!",0:23:42,0:23:35,0,AudioS200664.mpeg
,,Munna,"Baba, aapko bandh ke kyun rakha hai? Ye log 
kaun hai?","Father, why have you kept him tied up? Who are these 
people?",0:23:34,0:23:30,0,AudioS200665.mpeg
,,"Ravi, Animesh","Koi nahi hai Munna, koi nahi hai. Inspector humar 
bachha ke le ja yahan se! , Keno? Or to jana uchit or 
baba ki kore! ","There's no one here, Munna, no one at all.  Inspector, 
take our child away from here! Why? You should go 
instead, and leave Father alone!",0:23:29,0:23:23,0,AudioS200666.mpeg
,,"Ravi, Animesh","Saala inspector, tu bahut badi galti kar 
raha hai tu! , Hey! Bhul tui korechis, sudhre ne. 
Amader shudhu information lagbe.","You bastard, inspector, you're making a huge mistake! 
Hey! You've made a mistake, correct it. We just need 
information.",0:23:21,0:23:14,0,AudioS200667.mpeg
,,"Ravi, Animesh, Ravi","Information ki Maki! , Hey! Bachhar samne kisti 
marchhe! Osobhyo chhele! , Inspector amar biwi 
bachhake chhod inspector! Badle me hamike maar!","For information's sake! Hey! Giving slangs in front of the 
child!  A distinctive boy! Inspector, spare my wife and 
child, inspector! In return, you can kill me!",0:23:13,0:23:05,1,AudioS200668.mpeg
,,"Animesh, Ravi, 
Animesh, Ravi","Tai? Dara, tor bachhar sathe kotha bole asi. O 
babua... Pata hai, baba kya karta hai? , A haraami 
saala! , Ei bachhar samne na! ,  Saala ekta 
bachhake istemal korchis tui!","Hey? Wait, I was talking to your child.  Oh kid... Do you 
know what Father does? You bastard! Don't put this 
child forward! You're using a child, you son of a bitch!",0:23:04,0:22:54,0,AudioS200669.mpeg
,,Animesh,"Ei, Takar jonyo jokhon bonduker noler samne 
aat bochhorer bachhake shikar koris tokhon kichhu 
mone thake na? Haa? OC Ganesh Daser chhele 
jokhon babar mritodeho samne dariye chokher jol 
fele... Seta nojore ase na?","Not in front of the kid! Should've thought about it 
before aiming your gun at a kid for money! Huh? 
What about OC Ganesh Das's son who was crying 
over his dad's pyre?",0:22:53,0:22:37,0,AudioS200670.mpeg
,,"Munna, Animesh,
Munna","Papa... mujhe darr lag raha hai! , Aa darr legeche! , 
Ghar jana hai.","Dad... I'm scared! ,  Aw, he's scared! , I want to go home.",0:22:36,0:22:32,0,AudioS200671.mpeg
,,"Ravi, Animesh","Munna hum hai na tuhar baap! Kachu nahi hoga 
Munna! Hum leke jayenge tora ke ghar Munna, 
kachu nahi hoga! , Kachu nehi hoga. Tumi jao. Ei or 
bachar bhoy legeche, niye ja niye ja niye ja. ","Munna, your father is here. No one can harm you! I 
will take you home, Munna. Nothing will happen. Hey, 
Inspector! Don't you dare harm my man!",0:22:31,0:22:23,0,AudioS200672.mpeg
,,"Jyoti, Animesh","Ei inspector! Kuch mat karna humare marad ko, kuch 
mat karna! , Boudi! Tumi bolecho... kichhu korbona!","Nothing will happen. Go. The kid's 
scared, take him away. Madam! Your wish is my 
command!",0:22:22,0:22:16,0,AudioS200673.mpeg
,,"Ravi, Animesh, Ravi,
Animesh","Jyoti, tu fikar na..., Ei jao jao mausider sathe jao. , 
Hey Munna... Hey... Inspector? , Bye-bye boudi!","Jyoti, don't worry... Hey... Inspector? ,
Kiddo, go with the aunts. Bye-bye, madam!",0:22:14,0:22:06,1,AudioS200674.mpeg
,,"Ravi, Animesh, Ravi,
Animesh","Inspector amar biwi bachhake chhad bolchi 
inspector! , Chhere debo, Tui information chhar! , 
Chere de Inspector. Amr biwi bachhake chhere de 
inspector amar! , Tui information chaar, chere debo! 
Bol... noile tor bou bachhar samne tor emon halot 
korbo na...","Inspector, I'm begging you, spare my wife and child! I'll 
let you go, you give me information! Let them go, 
Inspector. Release my wife and child, I beg you! You 
want information, I'll give it to you! Speak... otherwise, I 
won't do this to your wife and child!",0:22:05,0:22:52,0,AudioS200675.mpeg
,,"Ravi, Animesh","Amar phone chai. , Ei or phone chai, Bitan. Ei haat 
khol, phone chai! Ei phone ese geche. Ne, saja. Baba 
tor koto phone re! Ki borolok tui! Ki holo? Tarpor?","I want my phone. , Give me that phone, Bitan.  Open 
your hand, I want the phone! This phone has arrived. 
No, arrange it. How many phones do you have, Father! 
What a big man you are! What happened? Then?",0:22:50,0:21:25,0,AudioS200676.mpeg
,,"Ravi, Animesh, 
Pullu(Call), Ravi, 
Animesh, Ravi","Intezaar. , Kar? Ki? Huh? Kotokhon baba? Aai, darao! 
Speaker e de. , Kya Ravi, sab theek?, Ji Netaji. , 
Netaji? Eder gange kota Netaji? Ei maal ta k? , Sab 
ekdum thik hain, Netaji. Agla plan Netaji? ","Wait. , Wait? What? Huh?  For how long, Father? 
Mother, be scared! Put it on speaker. , What Ravi, is 
everything okay?, Yes, Netaji. , Netaji? Which Netaji 
from around here? What is this stuff?, Everything is 
completely fine, Netaji. What's the next plan, Netaji?",0:21:24,0:20:30,0,AudioS200677.mpeg
,,"Pullu(Call), Animesh,
Ravi, Pullu(Call)","Kuch dinon ke liye underground ho ja. Zyada kaam 
nahi karna hai, biwi bachhon ke sath waqt bitao. Aur 
yeh Special Dutta is baar nahi bachega! , Arey 
saala! , Salaam Netaji! , Salaam. ","Go underground for a few days. Don't do much work, 
spend time with your wife and kids. And this Special 
Dutta won't escape this time! , Damn it! , Salute, 
Netaji! , Salute.",0:20:29,0:20:16,0,AudioS200678.mpeg
,,"Animesh, Ravi, 
Animesh, Ravi, 
Animesh","Bitan quick. Ha baba bol to ei Netaji ti k? , Humko 
nehi pata. , Dekh sojasuji bol ei Netaji ti k? , Humko 
jitna pata tha hum bata diye isse zyada humko nehi 
pata. , Nehi malum? Madam, ektu baire jaben, 
dorjata bondho kore diye jaben. Parle ektu ei ghor ta 
periye odike thakben nahole kane tulo diye thakben, 
please. Jai Hind. eto kore bojhalam sunli na. Ami 
duto option diye thaki, Karali babu...","Bitan, quick. Yes, Father, tell me who this Netaji is?  , 
We don't know. , Look, Sojasuji, tell me who this Netaji 
is? , We've told you whatever we knew, we don't know 
anything more. , Don't know? Madam, step outside a 
bit, the door will be locked. Then just stay outside this 
house, otherwise, you'll be made to stand by the ear, 
please. Jai Hind. I've explained so much, you didn't 
listen. I'm giving you two options, Karali Babu...",0:20:13,0:19:36,0,AudioS200679.mpeg
,,"Ins. Asim, Animesh, 
Ravi, Animesh","Hello, sir? , Niye ashun sorsher tel, molum. ha re, ei 
table ta okhane niye chol. Ka kar rehe ho Inspector? 
Are humko marneka ka zaruraat hain? Are marbo k 
boleche? Dekh na kemon lage! Ha, soya.","Hello, sir? , Bring the mustard oil, Molum. Yes, take this 
table over there. What are you doing, Inspector? Are 
you really going to kill us? Who told you to kill? Look 
how it feels! Yes, sleeping.",0:19:35,0:19:17,1,AudioS200680.mpeg
,,"Ravi, Animesh, Ravi,
Animesh, Ravi, 
Animesh, Ravi,
Animesh, Ravi,
Animesh, Ravi","Inspector? , Ay oth. , Ei sala... , Ei matha uttor dike, 
pa dokkhin dike. , ka kar rehe hain? Inspector bohut 
galat ho raha hain Inspector! , Ei to, ei dekh! , Ka kar 
rehe ho Inspector? , E dekh eita ekta, eita ekta. 
Khulun. , Ei bh***ke! Ei Ma***od! , Toder dole kota 
netaji ache? Ar toder next plan ta ki bol? , Ei sala 
ma**od! Nehi!","Inspector? , Oh no. , This bastard... , This head towards 
north, legs towards south. , What are you doing? 
Inspector is doing very wrong, Inspector! , Look here, 
look! , What are you doing, Inspector? , Look, this is a, 
this is a. Open it. , You son of a bitch! You motherfer! , 
How many Netajis do you have in your lap? And tell me 
your next plan? , You bastard motherfer! No!",0:19:16,0:18:54,0,AudioS200681.mpeg
,,News Reporter,"Ei muhurte shob theke boro khobor! Sona dakatir 
case e dhora porlo boro matha. Dakat doler neta Ravi 
Sardar ke police arrest korechhe. Special Crime 
Branch officer Animesh Dutter tottabodhane Special 
Task Force Dunka theke tule ane ei kukkheto doler 
matha k. Khub siggiribaki doler mathader o...","Biggest news! One of the culprits behind the jewelry 
robberies, arrested! Ravi Sardar arrested. Under the 
leadership of officer Animesh Dutta...",0:18:49,0:18:29,0,AudioS200682.mpeg
,,"NIrjhar Singh, 
Someone(Call), 
Nirjhar Singh,
Someone(Call),
Nirjhar Singh,
Someone(Call),
Nirjhar Singh,
Someone(Call),
Nirjhar Singh","Achha e Ravi Sardar ke achhe? Jake Bengal Police 
Jharkhand e dhoreche... , Bolche to dada Netaji. , E 
bhi Netaji achhe? , Ha, dada.  Arey saala duniya mein 
kitna Netaji hai re? Ek kaj kor. , Bolo dada. Amader 
lok jara jele achhe, taderke diye oke shesh kor. 
Subodh se baat kar. , Okay dada.  Abe chutiya! Tu 
bhi kya Netaji banega re? Sala peg bana!","Who is this Ravi Sardar? The guy Bengal Police 
arrested... He too is Netaji? How many bldy Netajis 
are there? Get this bugger killed by our men who are 
inside the jail. Hey, ae! You want to be Netaji too? 
Make me a drink!",0:18:19,0:17:48,0,AudioS200683.mpeg
,,"Animesh, Ins. Bitan,
Animesh. Ins.Bitan,
Ins. Madhabi","Bitan.. , Sir, Bosh bosh bosh. Any update? , Sir,initially 
amra dekhlam dakat ra unverified SIM use korche. 
Aar sekhan thekei criminal gulo apnake call korchilo. 
Kintu Ravir theke amra kichhu notun number pai. Tar 
moddhe ekta number hochhe oi notun Netajir number.
Number ta ektu odbhut, mane international. +369. 
Mane call ta dekhe mone hobe ekbar America, ekbar 
London theke asche.  
Eta trace deoa khub kothin, 
kintu amra parisi sir. Call ta aschilo Dumdum 
Central Jail theke.","Sir, initially they used unverified SIMs. The criminals 
used those numbers to call you. But we found some 
new numbers from Ravi. It's a strange international 
number. Basically cheating their IPs. It's hard to 
trace, but I tracked it... it came from Dumdum 
Central Jail.",0:17:39,0:17:09,0,AudioS200684.mpeg
,,"Animesh, Ins. BItan,
A nimesh, Ins. Bitan, 
Animesh, Ins.Bitan","Eshob kore labh? , Labh etai j ora oder real location 
hide korte parbe. Mane ek e jaygay boshe different 
different switch kore call korbe kintu apni dhorte 
parben na. , Ki kore sombhob? , Sir eta tokhon e 
sombhob jokhon oder kache professional call centre 
er moton kono IVR system royeche. , IVR? , Yes sir. 
Ora VPN change kore different different location 
theke apnake call korbe, kintu apni bujhte parben 
na. mane, basically, IP cheat korbe.","What's the gain in all this? The gain is that they can hide 
their real location. They can sit in one place and make 
calls by switching to different locations, but you won't 
be able to trace them. How is it possible? Sir, this is 
possible only when they have a professional call 
center-like IVR system. IVR? Yes, sir. They use 
different VPNs to call you from various locations, but 
you won't be able to figure it out. Basically, they cheat 
their IP address.",0:17:08,0:16:45,0,AudioS200685.mpeg
,,"Ins. Madhabi, 
Ins. Bitan, Animesh","Sir, sir ei prottek ta machine er kintu alada kore 
ekta MAC address ase. Mane ami jokhon computer 
iskul e gesilam tokhon sikhechi sir. Eta terece deya 
khub kothin, kintu amra parisi sir. , Sir, call ta ami 
track korechi, dekhlam, call ta aschilo dumdum 
centrail theke. , jail? ","Sir, sir every machine has a separate MAC 
address. I learned that when I went to computer school, 
sir. It's very difficult to trace, but we managed it, sir. , Sir, 
I tracked the call and found it was coming from 
Dumdum Central. , Jail?",0:16:44,0:16:25,0,AudioS200686.mpeg
,,"Ins. Bitan, Animesh, 
Ins. Bitan, Animesh,
Ins. Damayanti","Yes, Sir, Jail er bhetor thekei oi Netaji Ravi keo phone 
korechilo. , Lok ta k bojha jachhe? , Sir, information ja 
pachhi Pullu Gupta. 2022 theke jail e ache Notorious 
Criminal. , Pullu Gupta? Sure? , Yes sir. 2022 shale ei 
Pullu Gupta kei Dumdum jail e ana hoy. Ora boro 
shoro kono ekta crime kore palachhilo tarpor.. Basanti 
r okhane ekta biye barite dhuke soddo bibahito 
dompoti k khun kore","Yes, Sir, the call from Netaji Ravi was indeed made from 
inside the jail. The person involved is Pullu Gupta, a 
notorious criminal confirmed to have been incarcerated 
at Dum Dum Central Correctional Home since 2022. 
According to the information received from Pullu Gupta, 
in 2022, he and his gang committed a major crime by 
infiltrating a wedding procession in Basanti and 
murdering a married couple.",0:16:22,0:15:50,0,AudioS200687.mpeg
,,"Animesh, Ins.Bitan","Ha, ha  sunechi, sunechi monehoy. Ei Pullu r gupto 
jayega ta ektu bhalo kore bajiye dekhte hochhe, 
bujhli? , Yes, sir. ","Yes, yes, I've heard, I remember. We need to look into 
this Pullu Gupta, alias Jayega, a bit more carefully, got 
it? , Yes, sir.",0:15:35,0:15:23,1,AudioS200688.mpeg
,,Pullu Gupta,"Ke bolo toro? Ore Bapi? Kemon sob theek? Chutiya 
hum Netaji. Sunn.. Kal tak jail mein do crore pahuch 
jana chahiye. Nahi toh parso tera biryani ka dukan 
bandh. Aur uske baad tera tasvir biwi bachha ke 
saath biriyani ka dukan k samne Thik ba? Yaad 
rakhna. Hamar naam Netaji. ","Is this Bapi? Everything okay? Idiot, I'm Netaji. Send 
two crores to jail by tomorrow. Or your biriyani shop 
shuts down day after. Remember this. My name is 
Netaji. Shut it down. Is everything ready?",0:15:17,0:14:56,0,AudioS200689.mpeg
,,"Officer Khara, Pullu, 
Officer Khara, Pullu","E baandh kar yeh sab. Wo special officer aa rehe hain 
milne. Kayde se rehe. Are humar kayeda to humar 
kayda hi hain Dawa tayyar hai? Swagat karke leke 
aayiye. , Dhemnar gach. , Chinta keno korchen? 
Haan? Hum ready! Le ayiye. Eh Maharaj, darwaza 
bandh kar do!","The special officer is coming here. Beware. Go, give 
him a warm welcome. Why are you worrying? I'm 
ready! Bring him. Excuse me? Close the door!",0:14:51,0:14:27,0,AudioS200690.mpeg
,,"Officer Khara, 
Animesh, 
Officer Khara, 
Animesh","Namaskar Special Dutta, ami Dayananda Khara. 
Namaskar. Jani apni ready hoye esechen, amrao toiri. 
Aage office chulun na, khawa dawa kore neben, 
asuhun. ,Aage Pullur sathe ektu gullu gulluta sere ni. 
","Hello, Special Dutta, I'm Dayananda Khara. I know 
you came prepared, so are we. Let's go to the office 
first. Have something to eat. I've cooked country 
chicken for you myself.",0:14:17,0:14:02,1,AudioS200691.mpeg
,,"Officer Khara, 
Animesh,
Officer Khara,
Animesh","Hyan bolchilam je nijer hate murgi rendhechi... desi. 
Gnade duty jhul-le kichui mukhe rochena B**a babu. 
Sorry Khara babu. , Tobe ki janen, ei jele na, amar 
permission chhara keo dhukte pare na berote to parei 
na. Ami chunch hoye dhuke faal hoye beroi. Net 
ghete dekhe neben.","Hello. Let me talk to Pullu first. Everything tastes 
bland while I'm on duty. I come in as a lamb, leave 
like a lion. Look me up online.",0:14:01,0:13:44,1,AudioS200692.mpeg
,,"Jailer (Khara),
Animesh","Thik ache, rasta dekhiye dichhi. By chance keu jodi 
pise chataale mishiye dey na... Tahole belcha diye 
knuchiye fele debo, kemon? , Dekhi na apnar chaatal 
ta koto boro. Koto number cell? Ashun. ","No one can enter nor exit this jail without my 
permission. Okay. I will lead the way. If someone 
grinds you to the floor, I will scrape you out with a 
shovel, okay?",0:14:42,0:13:31,1,AudioS200693.mpeg
,,"Pullu, Animesh, 
Officer Khara, 
Animesh","Sir! Aaiye aaiye! Aap to kamaal ho sir! Hum tak 
pahuch gaye? , Proyojone police mati khunre asami ke 
dhore aane. Ami or sathe ektu ekla kotha bolte chai. , 
Sir sob kichu niyom mene hoy naki? , Ami gand mere 
thaki, majhe majhe niyomer o. ","Sir! Welcome! Reached all the way to me? Haven't 
you embarrassed yourself enough? Get out. Yes, I 
am Netaji. Yet, I am not. I did, Ravi did too... Lots of 
people do this.",0:12:39,0:12:17,1,AudioS200694.mpeg
,,"Pullu, Officer Khara","Aur kitna bezzati karaoge apni gand ka? Hain? Chalo 
bahar. Sir er amr sathe private kotha ache cholo. , 
Jeler baire apni bagh hote paren. Bhetore ami kumir 
achi. Dekhben khadyo na hoye jaan. ","Cops can dig through the ground to capture criminals. 
I want to speak to him alone. I screw the rules too. 
You maybe a tiger outside, but there are crocodiles 
inside the jail.",0:12:15,0:11:58,1,AudioS200695.mpeg
,,"Pullu, Animesh, Pullu, 
Animesh,Pullu, 
Animesh, Pullu, 
Paresh, Pullu
","Sir, ap bathiye to. , Thank You. , Khana? , Nehi nehi. 
Byabostha bhaloi. Ravi k chinish? , Bhai hain mera. , 
Kal oi bhaier khoj nite phone korechili? , E Paresh... Ji 
bhaiya. , Ravi a ko phone kiya tha ka re hum? , Nehi, 
Netaji. , Achha. ","Sir, you tell me then. , Thank you. , Food? , No, no. 
Arrangements are fine. Do you know Ravi? , He's my 
brother. , Yesterday, did you call to find that brother of 
yours? , This is Paresh... Yes, brother. , Did Ravi call 
you or did we call him? , No, Netaji. , Alright.",0:11:54,0:11:26,0,AudioS200696.mpeg
,,"Animesh, Pullu,
Animesh, Pullu","Netaji? Tahole tui Netaji? ,  Are hum hi hain Netaji. 
Aur nehi bhi. ka he, apni jodi khojen tahole ekhane 
anek Netaji paben. Lekin apni kake khujchen, seta to 
bolte hobe. ,  Netaji naam niye bibhinno sonar dokane 
tui dakati korash ni? , Koriyechi. Ami koriyechi, Ravi 
kore. Jail k andar se bohut lok e kaam kore. Agar apni 
zor den to jaanpehchaner lok bhi pe jaben, hmm! ","Netaji? So you are Netaji? , Yes, I am Netaji. And not 
just me. Look, if you search, you'll find many Netajis 
here. But you'll have to tell me who exactly you're 
looking for. , Don't you rob different gold shops using the 
name Netaji? , I have. I did it, Ravi did it. Many people 
work from inside jail. If you apply pressure, you'll even 
find people you know, hmm! ",0:11:24,0:10:41,0,AudioS200697.mpeg
,,"Animesh, Pullu,
Animesh, Pullu,
Animesh","Hotath ei, Netaji choddonamer pichone lukonor 
proyojon porlo keno? ,  Ka he, public aur police ko 
ch**a banane keliye koi naam to hona chahiye. Ish 
desh mein log ko ch**a banane keliye Neta banna 
bohut zaruri hain. ,  Ha wo to hain. ,  isliye hum bhi 
bann gaye Netaji. , Tar name, ei code namer pichone 
aro anek naam thakte pare.","So why did you resort to hiding behind the name Netaji? , 
Look, you need a name to create chaos among the 
public and police. In this country, it's very important to 
become a 'Neta' (leader) to create chaos. , Yes, that's 
true. , That's why we also became Netaji. , After all, 
behind this code name, there can be many other names. ",0:10:30,0:10:01,1,AudioS200698.mpeg
,,"Pullu, Animesh, Pullu,
Animesh, Pullu, 
Animesh, Pullu,
Paresh","Are wahi to hum kehe rehe hain. ,  Oi naam gulo amar 
chai. ,  Ito jana apnar jonn thik hobe na. Ar charen 
eishob, bolun to last bhabi r songe kobe baatchit 
holo? ,  Mane.  ,  Bhabi k phone koren.  Cell e phone 
ana baron ache. , Are sir, e jail apnader kanun se nehi, 
humara kayede se chalta hain! E phone lao re. ,  
Ji bhaiya. ","Yes, that's exactly what we've been saying. , I want 
those names. , This much information won't be enough 
for you. And stop this, tell me, when was the last time 
you spoke to your sister-in-law? , Meaning. , Call your 
sister-in-law. There's a cell phone here, bring it. , No sir, 
this jail doesn't run by your rules, it runs by our rules! 
Bring this phone. , Yes, brother. ",0:09:59,0:09:19,0,AudioS200699.mpeg
,,"Pullu, Paresh, Pullu, 
Paresh, Pullu, Paresh,
Indrani","Bhabi k phone laga. Ch**a hain ka re? Kounse jamane 
se hain? Video call kar. , Achha achha. , Ka re bhabi 
dekh na libe toke? De phone de! , Bhabi sayad busy. 
Aur ekbar phone laga re. , Excuse me, sir. , Firse hero 
giri, eh? , Laga laga. , Bolo ki hoyeche? Ar kar number 
theke phone korecho? ","Call my sister-in-law. Is there chaos? Since when have 
you been like this? Make a video call , Okay okay. , Hey, 
will my sister-in-law even recognize you? Give me the 
phone! , Sister-in-law is probably busy. Call again from 
another number. , Excuse me, sir. , Heroics again, 
huh? , Just make the call. , Tell me what happened? And 
who did you call from?",0:09:14,0:08:20,0,AudioS200700.mpeg
,,"Animesh, Indrani, 
Animesh, Indrani, 
Animesh, Indrani,
Barun, Indrani","Ei to, amar ek bondhur. Ek minute. Ki korcho? , Ki 
abar korbo? Dekhte pachho na kaj korchi. , Barun 
kothay? , Ghore ache. Bolo? , Phone ta or ghore niye 
jao, dekhao. , darao dichhi. Barun, dekh, bhul kore aj 
baba toke phone korechhe. , Hi, baba, all okay? , 
Amra bhalo achi. tumi kemon acho? Osudh khachho 
to time to time? Ar shorir thikache to? Ki holo?","Yes, he's a friend of mine. One minute. What are you 
doing? , What should I do again? Can't you see I'm 
working? , Where's Barun? , He's at home. Tell me? , 
Take the phone to his house, show him. , I've shown him. 
Barun, look, by mistake today Father called you. , Hi, 
Baba, everything okay? , We're fine. How are you? Are 
you taking your medicine from time to time? And is your 
body alright? What happened?",0:08:19,0:07:41,0,AudioS200701.mpeg
,,"Animesh, Indrani, 
Pest controller, 
Indrani, Pullu","Pichone ota k? , Ki bepar? , E room mein bhi thora 
spray karna hain, aplog thora bahar ja payenge. ,  Are 
tum bahar jao, jao jao. Hum ata hain jao. ,  E hamar 
ladka hain, ka soche Inspector? Ki ravi r ghore ghuse 
oke uthiye niye ashbe ar ami apnar ghore ghuste 
parbe na?","What's behind it? , What's the matter? , We need to 
spray a little in this room too, you people can go outside 
for a bit. , Just go out, go, go. We'll be here, go. , This is 
my son, what are you thinking, Inspector? That Ravi will 
break into your house, pick him up and take him away, 
and I won't be able to enter your house?",0:07:39,0:07:17,0,AudioS200702.mpeg
,,"Animesh, Pullu","Poribar-ke baire rakh! , Hey! Apnader goli korte 
permission lage. Amader mood bhalo thakle.. Happy 
Diwali! Abe dekh rehe hain, Bengal Police darr gaya 
bey! Darr gaya?","Keep the family outside! , Hey! Do you need permission 
to shoot? If our mood is good.. Happy Diwali! Look here, 
Bengal Police got scared, hey! Scared?",0:07:15,0:06:48,1,AudioS200703.mpeg
,,"Indrani, Animesh,
Barun, Animesh,
Barun, Animesh,
Barun, Animesh","Aschi to ki? Eki tumi? Are ki hoyeche bolbe to? , 
Barun? , Baba, kokhon ele tumi? Netaji dhora pore 
geche? , Just elam baba. na, Netaji ekhono dhora 
pore ni, porbe. tui mon diye porashona kor ja. , ha. 
Baba. , Ha? , I love you! , Love you too, baba. 
Porashona kor","Am I coming or what? Is it really you? Hey, will you tell 
me what's happened? , Barun? , Baba, when did you 
come? Has Netaji been caught? , Just arrived, Baba. 
No, Netaji hasn't been caught yet, he will be. You just 
focus on your studies. , Okay. Baba. , Yes? , I love you! , 
Love you too, Baba. Study well.",0:06:09,0:05:48,0,AudioS200704.mpeg
